Categoria,Subcategoria,Serviço,Descrição,Unidade,Valor
OBRA CIVIL,PROJETOS,1.1.1,Laudo de vistoria de vizinhança,vb,2100
OBRA CIVIL,PROJETOS,1.1.2,Plano de gerenciamento de descarte de resíduos,vb,"2886,57357993976"
OBRA CIVIL,PROJETOS,1.1.3,Seguro de obra,vb,2900
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.1,"Container de 3mts para canteiro de obra (escritório, almoxarifado, depósito, etc)",Mês,"1496,86683596265"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.2,"Barracão de obra com madeira certificada, instalações para canteiro de obra (escritório, almoxarifado, depósito, etc)",m2,"267,106420952575"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.3,Andaime metálico de ferro tubular para serviços externos ou internos,m2,"29,72"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.4,"Plataforma elevatória tipo tesoura para serviços externos ou internos, alcançe de h: 8m",Mês,"3075,73"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.5,"Plataforma elevatória tipo tesoura para serviços externos ou internos, alcançe de h: 12m",Mês,3913
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.6,"Plataforma elevatória tipo articulada para serviços externos ou internos, alcançe entre 12 e 15m",Mês,"4837,64"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.7,Locação da Obra / Marcação de alvenarias,m2,"6,216924"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.8,Locação da Obra (serviços especializados de topografia),m2,"11,8666666666667"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.9,Tapume em divisória naval com montantes metálicos,m2,"89,3"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.10,Adesivo branco para tapume em divisória naval  (shopping),m2,"54,0259"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.11,"Adesivo com imagem colorida impressa, para tapume em divisória naval  (shopping)",m2,"105,45"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.12,"Tapume em estrutura de caibros e fechamento em madeira compensada E=12mm com pintura branca, contemplando portão de entrada para caminhões e também para pedestres",m2,"83,59"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.13,"Tapume em estrutura de caibros de madeira e fechamento em telha metalica trapezoidal simples e=0,50mm com pintura branca, contemplando portão de entrada para caminhões e também para pedestres",m2,"122,35"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.14,Tela de proteção para fachada,m2,"27,839374669952"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.15,Tela de proteção para fachada na cor branca,m2,"26,845084443771"
OBRA CIVIL,SERVIÇOS INICIAIS,1.2.16,Frete dedicado por Km rodado de entrega,km,"5,3"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.1,Apicoamento superficial de concreto,m2,"19,362805030978"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.2,"Demolição completa das instalações  hidráulicas (tubulações, conexões, louças, metais e acessórios), inclusive bota-fora",m2,"13,4668180241909"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.3,"Demolição completa das instalações elétricas (tubulações, cabos, quadros, e etc), inclusive bota-fora",m2,"19,54"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.4,"Demolição completa de sistema de climatização (equipamentos, tubulações frigorígenas, dutos e alimentação elétrica), inclusive bota-fora",m2,25
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.5,"Demolição de alvenaria, com bota-fora",m2,"29,0434166065713"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.6,"Demolição de concreto armado  (Fundação / Estrutura), com bota-fora",m3,"105,968993290811"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.7,"Demolição de parede de gesso tipo dry wall, com bota-fora",m2,"17,036865942029"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.8,"Demolição de piso completa: revestimento / lastro / contrapiso / proteção mecânica / impermeabilização (espessura até 15cm), com bota-fora",m2,"21,1341349431818"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.9,"Demolição total de edifícação, internas e externas, com transporte e remoção de entulho",m2,"103,753614706841"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.10,"Retirada de caixilhos, inclusive vidros e todos os seus elementos, com bota-fora",m2,"17,4568440905281"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.11,"Retirada de divisórias e biombos, com bota-fora",m2,"13,4158181818182"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.12,"Retirada de estrutura de cobertura em geral, inclusive telhas com bota-fora",m2,"19,6565901"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.13,"Retirada de estrutura metálica (mezanino, escadas, estruturas auxiliares), com bota fora",kg,"3,7338"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.14,"Retirada de forro (gesso, metálico, modular, estuque, e etc.), com bota-fora",m2,"4,4429547235724"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.15,"Retirada de grades e portões, com bota-fora",m2,"18,886"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.16,"Retirada de porta com batente e ferragens, com bota-fora",un,"29,3083473230532"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.17,"Retirada de revestimento em massa, com bota-fora",m2,"16,3"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.18,"Retirada de vidros (vitrines e portas), com bota-fora",m2,"19,2506067961165"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.19,Remoção de CVI existente,vb,"1084,125"
OBRA CIVIL,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",1.3.20,Remoção e reposicionamento de mobiliário e dispensers para execução de pintura,vb,525
OBRA CIVIL,TERRAPLANAGEM,1.4.1,Aterro compactado com aquisição,m3,"56,1481481481481"
OBRA CIVIL,TERRAPLANAGEM,1.4.2,Corte do terreno com retirada,m3,"39,3257053233072"
OBRA CIVIL,TERRAPLANAGEM,1.4.3,Corte e aterro dentro da obra,m3,"20,4519641099798"
OBRA CIVIL,TERRAPLANAGEM,1.4.4,Raspagem e limpeza de terreno,m2,"4,07458333333333"
OBRA CIVIL,TERRAPLANAGEM,1.4.5,Compactação mecanica sem controle do GC (c/ compactador de placa 400kg),m2,"15,6328"
OBRA CIVIL,INSTALAÇÕES TEMPORÁRIAS,1.5.1,Instalação provisória de água e esgoto,mês,"1337,68798876437"
OBRA CIVIL,INSTALAÇÕES TEMPORÁRIAS,1.5.2,Instalação provisória de energia elétrica,mês,"1046,30884615385"
OBRA CIVIL,INSTALAÇÕES TEMPORÁRIAS,1.5.3,Instalação provisória de energia elétrica e dados para checkout e balcões,mês,"574,846704"
OBRA CIVIL,INSTALAÇÕES TEMPORÁRIAS,1.5.4,Fornecimento de água em caminhão pipa capacidade 5.000L,un,"336,4348"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.2,"Arrasamento de estaca de concreto armado, diametros de 30 a 60 cm",un,"35,0920544590471"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.3,Broca de Ø 20 cm (esc+arm+concreto),ml,"78,8250788250788"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.4,Broca de Ø 25 cm (esc+arm+concreto),ml,"94,5513493726964"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.5,"Estaca metálica I=10"" (fornec.+crav.+ corte + mobilização)",ml,"365,427"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.6,"Estaca metálica I=12"" (fornec.+crav.+ corte + mobilização)",ml,"488,604"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.7,"Estaca moldada in-loco Strauss Ø 30cm, inclusive escavação, bora fora do material,  concreto 20MPA e taxa de mobilização",ml,"114,285"
OBRA CIVIL,FUNDAÇÕES PROFUNDAS,1.6.8,"Estaca hélice continua monitorada  Ø 30cm, inclusive escavação, bora fora do material,  concreto 20MPA e taxa de mobilização",ml,"141,5025"
OBRA CIVIL,FUNDAÇÕES SUPERFICIAIS,1.7.1,Alvenaria de embasamento (Bloco de Concreto),m3,"420,5"
OBRA CIVIL,FUNDAÇÕES SUPERFICIAIS,1.7.10,Escavação para fundações,m3,"44,914079587609"
OBRA CIVIL,FUNDAÇÕES SUPERFICIAIS,1.7.11,Fôrmas de tábuas de madeira para fundação,m2,"68,82"
OBRA CIVIL,FUNDAÇÕES SUPERFICIAIS,1.7.12,Lastro de concreto magro (incluso lançamento),m3,"378,805137647277"
OBRA CIVIL,FUNDAÇÕES SUPERFICIAIS,1.7.13,Reaterro compactado de vala,m3,"48,9602909375166"
OBRA CIVIL,FUNDAÇÕES SUPERFICIAIS,1.7.14,Retirada de terra para bota fora,m3,"53,39231625"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.1,"Armadura de aço CA-50 para concreto armado, Ø até 12,5mm, corte, dobra e montagem",kg,"12,9756104476271"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.2,"Armadura de aço CA-60 para concreto armado, Ø de 8,00 até 9,50mm, corte, dobra e montagem",kg,"13,38"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.3,Escoramento para lajes ,m2,"48,9853895139496"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.4,Execução de furos com chumbamento de ferros,un,"37,61"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.5,"Forma c/ compensado resinado 12mm, 3 aproveitamentos",m2,"66,64"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.6,Fôrmas de tábuas de madeira para estrutura,m2,"75,711216"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.7,Formas (Metálicas tipo Polideck 59S - laje ),m2,"101,88"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.8,"Concreto estrutural dosado em central , fck 20 Mpa, inclusive transporte, bombeamento, lançamento, adensamento e acabamento",m3,"538,109112969474"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.9,"Concreto estrutural dosado em central , fck 25 Mpa, inclusive transporte, bombeamento, lançamento, adensamento e acabamento ",m3,"568,139719118092"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.10,"Concreto estrutural dosado em central , fck 30 Mpa, inclusive transporte, bombeamento, lançamento, adensamento e acabamento ",m3,"588,506992826555"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.11,"Concreto estrutural virado em obra , controle ""A"", consistência para vibração, brita 1 e 2, fck 20 MPa, inclusive lançamento, adensamento e acabamento ",m3,"595,773528349909"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.12,"Concreto estrutural virado em obra , controle ""A"", consistência para vibração, brita 1 e 2, fck 25 MPa, inclusive lançamento, adensamento e acabamento ",m3,"670,8560325"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.13,"Concreto estrutural virado em obra , controle ""A"", consistência para vibração, brita 1 e 2, fck 30 MPa, inclusive lançamento, adensamento e acabamento ",m3,"704,87125"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.14,Laje pré-fabricada e=12cm com capeamento de concreto  e tela,m2,"143,353250176"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.15,Laje pré-fabricada e=16cm com capeamento de concreto  e tela,m2,"138,494104486412"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.16,Laje pré-fabricada e=20 cm com capeamento de concreto  e tela,m2,"170,3468"
OBRA CIVIL,SUPERESTRUTURAS DE CONCRETO,1.8.17,"Muro de arrimo em  bloco de concreto, inclusive fundação ",m2,"212,572452683141"
OBRA CIVIL,ESTRUTURAS METÁLICAS - MEZANINO / JIRAU / 2º PAV.,1.9.1,Estrutura Metálica do Mezanino / Jirau / 2.ºpav. (incluso Escada metálica em chapa de aço xadrez anti derrapante e= 3mm - Grafite RAL 7021),kg,"22,3502984417887"
OBRA CIVIL,ESTRUTURAS METÁLICAS - MEZANINO / JIRAU / 2º PAV.,1.9.2,Piso Mezanino em chapas wall e=4mm,m2,"316,555896226415"
