,,,,,,,,,,,,,,,,,,,,,,
,,RD - LPU OBRAS DE REFORMAS – 2023 - SUL,,,QUADRO DE ÁREAS - EDIFICAÇÃO,,,,,QUADRO DE ÁREAS - EXTERNA,,,,PROJETOS CONSIDERADOS (ORÇ.),,,,,,,,
,,,,,SALÃO DE VENDAS (m2): ,,,,,ÁREA EXTERNA (m2): ,,"0,00",,DISCIPLINA,,REVISÃO,,,,,,
,,,,,APOIO TOTAL (m2): ,,"0,00",,,,ESTAC.PISO CONCRETO (m2):,,,ARQUITETURA,,,,,,,,
,,REVISÃO 01 - 19/07/2023,,,,APOIO TÉRREO (m2):,,,,ÁREA PERMEÁVEL (m2):,,"0,00",,FUNDAÇÕES,,,,,,,,
,,,,,,APOIO MEZANINO (m2):,,,,,ÁREA AJARDINADA (m2):,,,ESTRUTURA,,,,,,,,
,DROGASIL,DADOS GERAIS DA OBRA,,,,APOIO SUBSOLO (m2):,,,,,ÁREA DE PEDRISCO (m2):,,,INST ELÉTRICAS,,,,,,,,
,NOME:,Residencial Porto Alegre APTO 05,,,ÁREA CONSTRUÍDA (m2):,,"0,00",,,,PISO DRENANTE (m2):,,,INST HIDRÁULICAS,,,,,,,,
,LOCAL:,Porto Alegre - RS,,,PROJEÇÃO DA CAIXA (m2):,,"0,00",,,ÁREA DE MARQUISE (m2),,,,EXAUSTÃO / AR COND,,,,,,,,
,TIPOLOGIA/PERFIL:,,,,,,,,,,,,,PAISAGISMO,,,,,,,,
,DATA:,14 novembro 2024,,,PERCENTUAIS NEGOCIAÇÃO,,,,,,,,,LUMINOTÉCNICA,,,,,,,,
,CONSTRUTORA:,A definir,,,DESCONTO POR VOLUME (%):,,"0,0%",,,,,,,,,,,,,,,
,GERENCIADORA:,rev - 0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,RD | LPU ENGENHARIA REGIONALIZADA | 2023,,,QUANTITATIVOS,,,,,PREÇO UNITÁRIO (R$) ,,,,,,PREÇO TOTAL (R$),,,TOTAL,TOTAL C/ DESCONTOS,,Observações da construtora
,ITEM,"DISCRIMINAÇÃO DOS MATERIAIS, SERVIÇOS E EQUIPAMENTOS",UNID,,SALÃO DE VENDAS,APOIO,ÁREA EXTERNA,TOTAL,,MAT. ,(% mat.),M.O.,(% m.o.),TOTAL,,SALÃO DE VENDAS,APOIO,ÁREA EXTERNA," R$  21.133,56 "," R$  21.133,56 ",,
,,,,,,,,,,,,,,,,,,,,,,
,1.,OBRA CIVIL,,,,,,,,,,,,,,,,," R$  19.243,56 "," R$  19.243,56 ",,
,1.1,PROJETOS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.1.1,Laudo de vistoria de vizinhança,vb,,,,,"0,00",, R$  -   ,0%," R$  2.100,00 ",100%," R$  2.100,00 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.1.2,Plano de gerenciamento de descarte de resíduos,vb,,,,,"0,00",, R$  -   ,0%," R$  2.886,57 ",100%," R$  2.886,57 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
